host_response_time,room_type,host_response_rate,host_acceptance_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_len,neighborhood_overview_len,host_verifications_len,has_wifi,has_pool,has_kitchen,has_washer,has_dryer,has_ac,has_self_checkin,has_workspace,has_pet_allowed,has_free_parking,desc_1,desc_2,desc_3,desc_4,desc_5,n_1,n_2,n_3,target
1.0,1,100.0,100.0,0.0,1.0,1.0,3,1,1,1,2,60,12,3,1,1,2,1,4,1,1,1,2,2,0,0,0.12,33,786.0,4,1,1,1,1,1,1,0,0,0,1,0.44605228803133457,-0.009721460954625458,0.0021114279126531023,0.12164440113962341,0.05769428350052573,0.24965463351521552,-0.041508382082843714,-0.03749637613219219,2
1.0,1,100.0,99.0,54.0,1.0,1.0,6,1,1,1,2,30,21,2,1,1,1,1,1,1,1,1,9,9,0,0,0.19,50,255.0,10,1,1,1,1,1,1,0,0,0,1,0.3232155871182559,0.09562207226589656,0.06861899580071781,0.040849699728947406,0.04602164745871874,0.12026625630124958,-0.16400421922780933,-0.013119056022114588,0
1.0,1,100.0,99.0,54.0,1.0,1.0,8,2,2,4,2,30,35,4,2,3,3,1,2,1,2,1,9,9,0,0,0.31,46,255.0,10,1,1,1,1,1,1,0,0,0,1,0.32362542590879073,0.10199376058094524,0.06056490683923322,0.05362159344209857,0.045507695834078536,0.12026625630124958,-0.16400421922780933,-0.013119056022114588,0
5.0,1,0.0,0.0,1.0,1.0,1.0,4,2,2,2,20,50,210,0,3,3,3,2,2,1,3,0,1,1,0,0,1.89,39,596.0,5,1,1,1,1,1,1,0,0,0,1,0.3126896842275949,-0.09790286689028,-0.021519740663140784,-0.003151460002841095,-0.08716380070913825,0.09593148330900994,-0.1270986579389716,-0.03720643658881054,0
1.0,1,100.0,100.0,10.0,1.0,1.0,10,4,5,5,3,1124,222,38,2,2,2,3,2,1,2,1,10,10,0,0,2.0,44,1000.0,6,1,0,1,1,1,1,0,0,0,1,0.20669961481774402,-0.01882347312635331,-0.05621231321778079,-0.024097218187244,-0.007541372037428831,0.2667348229910926,0.010905866978926282,-0.05492472245099615,1
1.0,2,100.0,100.0,0.0,1.0,0.0,2,1,1,2,1,30,13,0,3,4,4,4,4,2,4,0,1,0,1,0,0.13,35,0.0,1,1,0,1,1,1,1,0,0,0,1,0.3615093537387976,-0.0026254640839046407,-0.03398724929801823,0.09236391808137576,-0.004160502618332316,0.0,0.0,0.0,2
2.0,1,100.0,78.0,1.0,1.0,1.0,6,2,3,3,3,365,50,16,2,2,2,2,2,1,2,0,1,1,0,0,0.46,33,219.0,5,1,1,1,1,1,1,0,0,0,1,0.17312129176215466,0.04881978474424595,0.05448669579472425,-0.07655787634215103,-0.08033927400659024,0.04616644906009101,-0.09273106215778368,-0.05929664054510505,2
5.0,2,0.0,0.0,1.0,1.0,1.0,1,1,4,6,20,90,0,0,5,5,5,5,5,5,5,1,1,0,1,0,0.0,15,185.0,4,1,0,1,0,0,1,0,0,0,1,0.35941650912531464,-0.1006149706554187,-0.09785182126711421,0.09212052438184688,-0.09702902390130487,0.17106152595343754,-0.04265599633632213,-0.08520731659316455,0
1.0,2,100.0,95.0,3.0,1.0,1.0,2,5,2,1,60,60,0,0,5,5,5,5,5,5,5,1,1,0,1,0,0.0,32,0.0,9,1,0,0,0,0,0,0,0,0,1,0.3133418476897507,-0.09924770449765472,-0.029738276118483963,-0.02436337259494056,-0.06069076714072351,0.0,0.0,0.0,2
1.0,1,100.0,98.0,3.0,1.0,1.0,4,2,2,3,7,1125,24,7,1,1,1,1,1,1,1,0,1,1,0,0,0.23,49,105.0,5,1,0,1,1,1,1,0,0,0,1,0.3574957518084102,-0.040153705814426205,-0.04281603869164279,-0.03557079132335031,-0.06297397923917625,0.23655447708397556,-0.040100427309278486,-0.017105063287213836,2
1.0,1,100.0,87.0,107.0,1.0,1.0,5,1,1,3,5,1125,7,0,1,1,1,2,1,1,1,0,50,50,0,0,0.07,31,0.0,5,1,1,1,1,1,1,0,0,0,1,0.3796195998732076,-0.03319656571209285,-0.00916019549201993,0.0467856677609203,0.031032378741588065,0.0,0.0,0.0,0
